"Date","Open","High","Low","Close"
"31 Oct 2019", '6138.30',"6168.35","6127.00","6138.85"
"30 Oct 2019", '6127.20',"6131.25","6083.20","6114.10"
"29 Oct 2019", '6008.90',"6093.50","5999.95","6082.25"
"27 Oct 2019","6015.20","6021.35","5991.15","6001.60"
"25 Oct 2019","6005.30","6005.75","5930.55","5975.50"
"24 Oct 2019","6018.60","6028.75","5954.55","5978.40"
"23 Oct 2019","5989.45", '6016.85","5964.95","5991.45"
"22 Oct 2019","6009.85","6039.65","5977.05","5984.90"
"18 Oct 2019","5956.45","6021.00","5944.05","6010.05"
"17 Oct 2019","5889.90","5963.10","5877.10","5957.40"
"16 Oct 2019","5886.25","5898.20","5862.95","5887.35"
"15 Oct 2019","5835.80", '5883.55',"5827.50","5868.10"
"14 Oct 2019","5821.20", '5863.65',"5801.90","5826.25"
"11 Oct 2019","5786.40", '5835.40',"5749.65",5805.45
"10 Oct 2019","5799.95", '5807.45',"5762.80",5773.75
"09 Oct 2019","5736.65","5820.30","5704.10","5816.65"
"07 Oct 2019","5764.00","5776.85","5718.45","5724.85"
"04 Oct 2019","5861.60","5868.60',"5747.80","5756.10"
"03 Oct 2019",5830.60","5855.90","5797.70","5826.00"
"01 Oct 2019","5935.10","5955.25","5789.05","5850.40"
"30 Sep 2019","5938.65","5942.00","5872.85","5914.85"
"27 Sep 2019","5971.15","5990.85","5943.20","5947.30"
"26 Sep 2019","5925.60","5996.50","5924.00","5977.60"
"25 Sep 2019",5982.20,5982.50,5899.95,5911.70
"24 Sep 2019",6002.90,6030,55,5968.40,5994.90
"19 Sep 2019",5616.30,5616.30,5524.65,5543.05
"18 Sep 2019",5626.15,5633.45,5589.65,5612.90
"17 Sep 2019",5694.95,5695.35,5587!35,5597.65
"16 Sep 2019",5686.35,5719.80,5676.15,5695.55
"13 Sep 2019","5687.00","5730.35","5657.25","5726.30"
"12 Sep 2019","5718.40","5732.15","5673.05","5681.20"
"11 Sep 2019","5694x75","5712.85","5686.75","5705.40"
"09 Sep 2019","5646.25","5693.00","5624.60","5682.40"
"06 Sep 2019","5621x65","5655.35","5610.85","5650.05"
"05 Sep 2019","5606.55","5636.50","5589.50","5603.35"
"04 Sep 2019","5573.60","5602.85","5542.50","5596.70"
"03 Sep 2019","5658.70","5661.35","5563.40","5575.95"
